[RUN #1 79%,  71 secs]  2 threads:      218964 ops,    3059 (avg:    3071) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 80%,  72 secs]  2 threads:      222024 ops,    3047 (avg:    3071) ops/sec, 3.13MB/sec (avg: 3.15MB/sec), 15.68 (avg: 15.62) msec latency
[RUN #1 81%,  73 secs]  2 threads:      225192 ops,    3155 (avg:    3072) ops/sec, 3.24MB/sec (avg: 3.15MB/sec), 15.39 (avg: 15.62) msec latency
[RUN #1 83%,  74 secs]  2 threads:      228264 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 84%,  75 secs]  2 threads:      231336 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.64 (avg: 15.62) msec latency
[RUN #1 85%,  76 secs]  2 threads:      234414 ops,    3065 (avg:    3072) ops/sec, 3.15MB/sec (avg: 3.15MB/sec), 15.61 (avg: 15.62) msec latency
[RUN #1 86%,  77 secs]  2 threads:      237528 ops,    3101 (avg:    3072) ops/sec, 3.18MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 87%,  78 secs]  2 threads:      240600 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 88%,  79 secs]  2 threads:      243672 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 89%,  80 secs]  2 threads:      246792 ops,    3107 (avg:    3072) ops/sec, 3.19MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 90%,  81 secs]  2 threads:      249874 ops,    3069 (avg:    3072) ops/sec, 3.15MB/sec (avg: 3.15MB/sec), 15.57 (avg: 15.62) msec latency
[RUN #1 91%,  82 secs]  2 threads:      252946 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 93%,  83 secs]  2 threads:      255997 ops,    3038 (avg:    3072) ops/sec, 3.12MB/sec (avg: 3.15MB/sec), 15.73 (avg: 15.62) msec latency
[RUN #1 94%,  84 secs]  2 threads:      259117 ops,    3107 (avg:    3072) ops/sec, 3.19MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 95%,  85 secs]  2 threads:      262189 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.63 (avg: 15.62) msec latency
[RUN #1 96%,  86 secs]  2 threads:      265261 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 97%,  87 secs]  2 threads:      268333 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.64 (avg: 15.62) msec latency
[RUN #1 98%,  88 secs]  2 threads:      271453 ops,    3107 (avg:    3072) ops/sec, 3.19MB/sec (avg: 3.15MB/sec), 15.61 (avg: 15.62) msec latency
